Supplier Name,Stage Invoked,Mandatory Restrictions,Reporting Month,Total Monthly Potable Water Production 2014,Total Monthly Potable Water Production 2013,Units,Qualification,Total Population Served,Optional - Enforcement Actions,Optional - Implementation,Optional - Recycled Water,Recycled Water Units, CALCULATED Monthly Gallons Month 2014 ,CALCULATED Monthly Gallons Month 2013,% Residential Use,Comments/Corrections
Azusa  City of,Phase 3,Yes,Aug-14,815667,934976,CCF,,110000,,,,," 610,161,288 "," 699,410,618 ",54%,No Correction Needed
Alhambra  City of,2,Yes,Aug-14,1027.93,1118.02,AF,,85068,,,,," 334,952,457 "," 364,308,412 ",100%,No Correction Needed
Apple Valley Ranchos Water Company,Stage 2,Yes,Aug-14,761834,815753,CCF,"*64.5% reflects amount of residential  sold not produced  * Remaining 35.5% includes (business,industrial,irrigation)",62602,,,,CCF," 569,891,408 "," 610,225,621 ",65%,No Correction Needed
Thousand Oaks  City of,Permanent Conservation Measures,Yes,Aug-14,1199,1331,AF,,51609,,,,," 390,695,861 "," 433,708,249 ",74%,No Correction Needed
Beverly Hills  City of,Voluntary Stage B,No,Aug-14,1169.6,1184.4,AF,Monthly Production Calculated from Local Production and Metropolitan Water District (MWD) Purchases    % of Residential Use Calculated from Billing Data,34000,Outdoor Water Schedule & Restrictions (Unenforced)    Voluntary 20% Water Reduction,System Water Audits and Leak Detection Program    Prohibit Washing Down of Driveways and Sidewalks    Prohibit Excess Watering/Runoff    Use Shut-off Nozzle when Washing Vehicles    Prohibit Water Feature Unless Water is Recirculated    Smart Infrastructure - AMI System    Partnership w/ MWD In/Outdoor Rebate Programs    Landscape Irrigation Ordinance    Public Outreach and Education    September 2 - City Council Approved Stage B Emergency Ordinance w/ Mandatory 10% Water Use Reduction,,," 381,115,829 "," 385,938,430 ",77%,No Correction Needed
Golden State Water Company Cowan Heights,2,Yes,Aug-14,309.1,315.8,AF,,5390,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:    January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.    February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.       March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.    April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.     May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.    July 2014: Shared State Water Resource Control Boardâ€™s (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.    August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.    Please see www.gswater.com for additional information.  ",,," 100,720,676 "," 102,903,881 ",96%,No Correction Needed
Pomona  City of,Permanent,Yes,Aug-14,2261.079,2507.229,AF,"The City only captures SFR and Mult-Res as a separate category, it is not possible to have actual consumption figures related to landscape irrigation or agriculture use. The residential use was calculated by obtaining the City's total monthly water consumption and determining what percentage of that figure was attributed to SFR and Mult-Res customers. As a note, the production figures listed include groundwater, surface water and imported water.",150942,,,,," 736,775,819 "," 816,984,147 ",69%,No Correction Needed
Walnut Valley Water District,Stage 1 Mandatory Water Restrictions,Yes,Aug-14,2023,2309,AF,"In August 2014, the Board Approved Stage 1 Mandatory Water Restrictions which included restrictions on outdoor water usage.",113236,,,310,AF," 659,197,437 "," 752,390,945 ",72%,No Correction Needed
California-American Water Company Sacramento District,Voluntary Conservation,No,Aug-14,3248,4341,AF,,201418,,,,," 1,058,365,435 "," 1,414,521,045 ",60%,No Correction Needed
Ventura County Waterworks District No 1,1,Yes,Aug-14,1184,1280.8,AF,,38703,,,30157,AF," 385,808,090 "," 417,350,508 ",47%,No Correction Needed
Great Oaks Water Company Incorporated,2,Yes,Aug-14,1152.007,1382.813,AF,Amount of water produced that is used for agriculture will not be determined until agricultural users have complied with reporting requirements.,92995,Great Oaks Water Company is in compliance with Water Board emergency regulations and Public Utilities Commission requirements.,,,," 375,383,125 "," 450,591,589 ",85%,No Correction Needed
Carlsbad Municipal Water District,Level 2,Yes,Aug-14,1736,1806,AF,H20 Usage Breakdown    AG = 0.093  C = 5.46  IR= 3.03,84838,,,557.6,AF," 565,678,077 "," 588,487,677 ",86%,No Correction Needed
Golden State Water Company Placentia,2,Yes,Aug-14,749.9,781.3,AF,,50201,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:    January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.    February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.       March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.    April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.     May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.    July 2014: Shared State Water Resource Control Boardâ€™s (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.    August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.    Please see www.gswater.com for additional information.  ",,," 244,355,985 "," 254,587,720 ",93%,No Correction Needed
Huntington Park  City of,Phase 3,Yes,Aug-14,434,312,AF,,21740,,,,," 141,419,519 "," 101,665,645 ",100%,No Correction Needed
Helix Water District,Level 2 Drought Alert,Yes,Aug-14,3269.5,3585.2,AF,"Water production numbers are available within a few days of month end; usage numbers are available approximately two months later due to rolling two-month meter reading cycles. The estimated percentage of water going to residential use included in the August report will be based on water used during the months of June - August, depending on when each meter was read.",267922,,"Helix Water District's customers have reduced water use by 21% between 2007 and 2013. A Level 1 Drought Watch was declared in February, calling for voluntary conservation measures. A Level 2 Drought Alert calling for mandatory restrictions went into effect in August.",,," 1,065,371,241 "," 1,168,242,536 ",54%,No Correction Needed
Manhattan Beach  City of,Permanent Requirements,Yes,Aug-14,494,519,AF,,35135,,,41.5,AF," 160,970,605 "," 169,116,891 ",78%,No Correction Needed
Lakeside Water District,2,,Aug-14,410,461,AF,,33657,,,,," 133,599,085 "," 150,217,508 ",90%,No Correction Needed
Carpinteria Valley Water District,Stage I (modified),Yes,Aug-14,415.87,514.67,AF,% based on monthly metered sales,14616,,,,," 135,511,833 "," 167,705,954 ",31%,No Correction Needed
Lakewood  City of,Phase 2,Yes,Aug-14,743.29,868.22,AF,"Total Lakewood Population = 80,048  City of Lakewood Service Area Population= 59,081  Golden State Water Co Service Area= 20,967",59081,,,57.18,AF," 242,202,107 "," 282,910,726 ",74%,No Correction Needed
Las Virgenes Municipal Water District,Stage 3,Yes,Aug-14,2570,2660,AF,Percentage Residential Use taken from 2013 Large Water System Annual Report to the Drinking Water Program. Percentage was calculated using columns B through F (excludes recycled water sales and fire flow uses).,75384,,,255.1,MG," 837,438,167 "," 866,764,796 ",85%,DATA CORRECTION
Chino Hills  City of,II,Yes,Aug-14,688636,724061,CCF,"The remaining 30% is non-residential, government, fire line, and dedicated landscape.",74738,,,261.951,AF," 515,135,501 "," 541,635,242 ",70%,No Correction Needed
Lodi  City of Public Works Department,Stage 1,Yes,Aug-14,632.32,642.43,MG,"Per Water and Wastewater Rate Update Study, The Reed Group, Inc., 2012",62930,,,,," 632,320,000 "," 642,430,000 ",94%,No Correction Needed
Golden State Water Company S Arcadia,2,Yes,Aug-14,355.1,383.4,AF,,29511,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:    January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.    February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.       March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.    April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.     May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.    July 2014: Shared State Water Resource Control Boardâ€™s (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.    August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.    Please see www.gswater.com for additional information.  ",,," 115,709,842 "," 124,931,437 ",96%,No Correction Needed
Lomita  City of,,,Aug-14,213.41,229.67,AF,,20463,,,,," 69,539,953 "," 74,838,297 ",90%,No Correction Needed
Golden State Water Company San Dimas,2,Yes,Aug-14,1324.4,1434.9,AF,,54497,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:    January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.    February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.       March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.    April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.     May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.    July 2014: Shared State Water Resource Control Boardâ€™s (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.    August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.    Please see www.gswater.com for additional information.  ",,," 431,557,630 "," 467,564,213 ",93%,No Correction Needed
Monrovia  City of,Phase I,Yes,Aug-14,250,279,MG,,39147,33 Work Orders were opened and investigated related to water conservation measures.,,,," 250,000,000 "," 279,000,000 ",75%,No Correction Needed
North Coast County Water District,2,Yes,Aug-14,128386,159725,CCF,,39000,,,2639,CCF," 96,039,397 "," 119,482,597 ",79%,No Correction Needed
North Tahoe Public Utility District,2,Yes,Aug-14,51.391,57.725,MG,Per the monthly meter read for August 2014 (7/15/14 - 8/13/14) Commercial use is 14.893 MG.,7500,,,,," 51,391,000 "," 57,725,000 ",71%,No Correction Needed
San Dieguito Water District,Drought Response Level 2,Yes,Aug-14,655.2,673.1,AF,,36959,,,38,AF," 213,497,855 "," 219,330,596 ",72%,No Correction Needed
Palmdale Water District,1,Yes,Aug-14,2122.4,2234.8,AF,,109395,,,,AF," 691,587,069 "," 728,212,769 ",80%,No Correction Needed
Olivehurst Public Utility District,2,Yes,Aug-14,161,215,MG,"5% for commercial, street-scape and parks.",19509,,,,," 161,000,000 "," 215,000,000 ",95%,No Correction Needed
Twentynine Palms Water District,Stage 1,Yes,Aug-14,271.062,292.225,AF,,18795,,,,," 88,325,940 "," 95,221,933 ",85%,No Correction Needed
Orchard Dale Water District,,No,Aug-14,230,236,AF,,19894,,state water boards mandatory restrictions effective September 1 2014,,," 74,945,828 "," 76,900,937 ",100%,No Correction Needed
"Yreka, City of",2,Yes,Aug-14,85.95,104.87,MG,,7765,,,,," 85,950,000 "," 104,870,000 ",52%,No Correction Needed
Rubidoux Community Service District,Stage 2,No,Aug-14,178.21,191.92,MG,,29900,,,,," 178,210,000 "," 191,920,000 ",80%,No Correction Needed
Quartz Hill Water District,Stage I,Yes,Aug-14,610.17,806.49,AF,,17500,,,,," 198,824,765 "," 262,795,917 ",100%,No Correction Needed
Pico Rivera  City of,1,Yes,Aug-14,496.1,529,AF,,39002,,,,," 161,654,893 "," 172,375,405 ",90%,No Correction Needed
Rincon Del Diablo Municipal Water District,Level 2,Yes,Aug-14,644,782,AF,Commercial Water Use = 14%  Landscape Water Use = 9%  Ag Water Use = 1%  Construction Water Use = 2%,29955,,,351,AF," 209,848,319 "," 254,815,816 ",74%,No Correction Needed
Riverside Highland Water Company,Stage 2,Yes,Aug-14,381.2,468.7,AF,,14500,,,,," 124,214,564 "," 152,726,564 ",90%,No Correction Needed
Rubio Canyon Land and Water Association,,Yes,Aug-14,221,253,AF,,9600,,,,," 72,013,165 "," 82,440,411 ",90%,No Correction Needed
Santa Fe Springs  City of,Following Federal Contingency Guidelines 8-1-14,No,Aug-14,583.97,642.98,AF,Santa Fe Springs is comprised of 85% commercial / 15% residential properties.,18199,,,38104,CCF," 190,287,458 "," 209,515,951 ",26%,No Correction Needed
San Bernardino County Service Area 64,,Yes,Aug-14,334,379,AF,,9681,,,,," 108,834,377 "," 123,497,691 ",98%,No Correction Needed
Valley County Water District,Stage 1,Yes,Aug-14,777.87,867.63,AF,,70271,"First Violation- Educate and provide information about water use practices and conservation measures.  Second Violation - Written warning outlining the need for action to implement appropriate corrective measures.  Additional Violations - Monitary penalties.  Third Violation - $25.00, Fourth Violation - $50.00, Fifth Violation - $100.00.","May 2014 Ordiance 04-14-126 was adopted,w hich outlined our general water conservation and water use efficiency practices.  July 2014, Resolution 07-14-752 was adopted declaring a Stage 1 Water Supply Emergency.  District employees were trained on the ordinance and enforcement actions.  In August 2014, district employees becan issuing sitations for failure to comply with waer use efficiency practices",,," 253,470,050 "," 282,718,474 ",70%,No Correction Needed
San Jacinto  City of,Voluntary,Yes,Aug-14,132097,143228,CCF,n/a,15200,n/a,n/a,,," 98,815,418 "," 107,141,984 ",90%,No Correction Needed
San Gabriel County Water District,1,Yes,Aug-14,583.45,632.11,AF,,45000,,,,," 190,118,015 "," 205,973,946 ",75%,No Correction Needed
Santa Ana  City of,0,Yes,Aug-14,3653,3832,AF,,332005,,,,," 1,190,335,263 "," 1,248,662,668 ",67%,No Correction Needed
San Juan Capistrano  City of,Stage 2,Yes,Aug-14,962.1,933,AF,"Overall production was slightly higher in August 2014 than August 2013, as a golf course in the Cityâ€™s service area used 25 acre feet in August 2014, and 0 acre feet in August 2013.  This is new demand, and accounts for 87% of the increased production.  The balance of the increase is accounted for by two large CALTRANS freeway construction projects (~2 AF).    Agricultural accounts used 23.54 AF in August 2014.      From the Cityâ€™s water sales report, residential use went down by 9.5 AF (1.6%).  Residential per-capita use in August decreased from 167 gallons per capita per day in 2013, to 162 gallons per capita per day for this month in 2014.  ",40262,"In August 2014, staff received and responded to 18 calls reporting leaks and water waste.  Additionally, staff has begun a cycle of patrols for overspray and runoff, and has contacted five sites where broken or stuck sprinklers were discovered.  Follow-up with these customers indicated that all were repaired within a day.","The City Council declared a Stage 2 Water Shortage on August 19, 2014.  Several local papers carried the story, with details of the new restrictions.  During August, a message was printed on all water bills alerting residents to the new regulations.  Additionally, a bill stuffer was included enumerating the â€œFour things Californians can do to save water in the droughtâ€ù, with another bill stuffer promoting free home water surveys and rebates for landscape efficiency.    The City launched a mobile app this month, enabling residents to report leaks and waste, and updated the conservation page on the City Web site to reflect the declaration of Stage 2, and guide residents to rebates and assistance.  Staff was informed of the declaration, and a handout provided to be placed on public counters detailing the restrictions in place.  City landscape crews have been informed about the regulations and restrictions, and directed to be diligent in checking irrigations systems and performing prompt repairs. Lawn signs have been ordered, to publicize the turf removal program throughout the City.    City staff responded to numerous email and telephone inquiries about the drought, met with Homeowner Association representatives, and continues scheduling workshops and public forums to take place over the next several months.  Staff also drafted a direct mail piece to be mailed to every address, about the Stage 2 Drought declaration.  ",,," 313,501,658 "," 304,019,381 ",59%,No Correction Needed
Serrano Water District,1,Yes,Aug-14,333.9,346.7,AF,,6641,,,,," 108,801,791 "," 112,972,690 ",100%,No Correction Needed
Sunny Slope Water Company,1,No,Aug-14,167067,186572,CCF,,30611,Water Conservation Reminder door hangers ; mail Water Conservation letters with billing statements ; gave out complimentary toilet tank leak detecting tablets and water efficient shower-heads to interested customers.,,,," 124,974,795 "," 139,565,548 ",89%,DATA CORRECTION
Sonoma  City of,Stage 2,Yes,Aug-14,195,236.3,AF,,11579,,,,," 63,541,028 "," 76,998,692 ",72%,No Correction Needed
Sweetwater Authority,Stage 1,No,Aug-14,1930.9,2144.3,AF,,189970,,,,," 629,186,520 "," 698,723,215 ",71%,No Correction Needed
Suburban Water Systems San Jose Hills,first stage,No,Aug-14,2815.79,3095.36,AF,,178500,,,122.81,AF," 917,529,190 "," 1,008,627,473 ",71%,No Correction Needed
Ukiah  City of,2,Yes,Aug-14,107,138,MG,,16075,Mandatory Restrictions were implemented in August. Enforcement action are currently taking place.,,,," 107,000,000 "," 138,000,000 ",54%,No Correction Needed
Suburban Water Systems Whittier/La Mirada,First Stage,No,Aug-14,2213.72,2425,AF,,115000,,,,," 721,343,821 "," 790,189,710 ",68%,No Correction Needed
Golden State Water Company Artesia,2,Yes,Aug-14,521.8,539.1,AF,,53318,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:    January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.    February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.       March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.    April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.     May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.    July 2014: Shared State Water Resource Control Boardâ€™s (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.    August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.    Please see www.gswater.com for additional information.  ",40.6,AF," 170,029,275 "," 175,666,504 ",94%,No Correction Needed
Golden State Water Company Claremont,2,Yes,Aug-14,1158.6,1381.4,AF,,35845,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:    January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.    February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.       March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.    April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.     May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.    July 2014: Shared State Water Resource Control Boardâ€™s (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.    August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.    Please see www.gswater.com for additional information.  ",,," 377,531,463 "," 450,131,161 ",91%,No Correction Needed
Golden State Water Company Bell-Bell Gardens,2,Yes,Aug-14,454.3,473.4,AF,,69351,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:    January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.    February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.       March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.    April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.     May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.    July 2014: Shared State Water Resource Control Boardâ€™s (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.    August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.    Please see www.gswater.com for additional information.  ",8.5,AF," 148,034,303 "," 154,258,066 ",89%,No Correction Needed
Golden State Water Company Florence Graham,2,Yes,Aug-14,467.8,475.9,AF,,63656,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:    January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.    February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.       March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.    April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.     May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.    July 2014: Shared State Water Resource Control Boardâ€™s (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.    August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.    Please see www.gswater.com for additional information.  ",,," 152,433,298 "," 155,072,694 ",90%,No Correction Needed
Golden State Water Company Barstow,2,Yes,Aug-14,661.3,738.7,AF,,33554,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:    January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.    February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.       March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.    April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.     May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.    July 2014: Shared State Water Resource Control Boardâ€™s (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.    August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.    Please see www.gswater.com for additional information.  ",,," 215,485,549 "," 240,706,449 ",91%,No Correction Needed
Golden State Water Company Norwalk,2,Yes,Aug-14,444.9,482.6,AF,,44327,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:    January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.    February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.       March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.    April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.     May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.    July 2014: Shared State Water Resource Control Boardâ€™s (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.    August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.    Please see www.gswater.com for additional information.  ",2.7,AF," 144,971,300 "," 157,255,899 ",96%,No Correction Needed
Upland  City of,Year Round,Yes,Aug-14,988412,1106366,CCF,,73732,,,35991,CCF," 739,383,522 "," 827,619,242 ",58%,No Correction Needed
